;text;option_1;option_2;option_3;option_4;rating
q61216;For the right person, how long do you think that you could sustain a long-distance relationship?;I couldn't do one, period.;One year or shorter.;More than one but less than three years.;Three years or longer.;3
q55344;Would it be a good idea to pass a law requiring people to take a course and pass a test before being allowed to have a child?;Yes.;No.;;;2
q19292;Have you ever taken a break while at work to 'play' with yourself ?;Yes;No;;;1
q46911;Have you ever heard a recording of your own voice?;Yes, I liked the sound of it.;Yes, but I did not like the sound of it.;No.;;1
q41711;Imagine you have a regular sex partner, but you cannot seem to help them achieve orgasm.  Would this bother you?;Yes.;No.;;;1
q79715;If all the commercial food sources in the world closed down, how would you provide for yourself and or family?;I'd hunt and / or fish.;I'd have a garden.;I'd do both of the above.;I'd do neither.  I'd prefer to starve.;2
q12229;Would you consider dating a divorced person?;Yes, definitely;I'd prefer not;Definitely no;;8
q494;Do you own a record player?;Yes;No;;;1
q22400;How many people have you kissed that are not related to you, in a more than friendly way?;0;1-10;11-50;51+;7
q66559;If you were in your last moments of life after a traffic accident, and someone from another faith was holding your hand attempting to comfort you in your last moments, what would your thoughts be about that?;I would take comfort.;I would be offended.;I would be indifferent.;Other thoughts would take precedence.;6
q42665;Would you consider dating someone who has chosen to completely abstain from drinking alcohol?;Yes.;No.;;;8
q82512;Do you like to listen to audiobooks?;Yes.;No.;I've never tried them.;;1
q12598;Can you name 5 directors and a film that each made, from before 1980?;Yes;No;;;
q55117;Imagine you are at a social event and your partner says something you disagree with strongly.  Which of the following would you most likely do?;I'd support them even though I disagree.;I'd just keep quiet.;I'd politely disagree.;I'd argue my point aggressively.;
q350;Do you have a really good relationship with both your parents?;Yes;No;;;
q19236;Is there a point in a relationship where it can get 'too serious'?;Yes;No;;;
q84036;Have you ever talked your way out of a traffic ticket?;Yes.;No.;;;
q49467;How do you feel about putting children on leashes?;I do not approve of this.;I approve of this.;I might approve under special circumtances.;I could not care less.;
q39639;Let's say a close friend told you something in confidence, but you subsequently stopped being friends with them. Do you feel free to share their secret with others?;Yes.;No.;Only if they had betrayed me.;;
q15172;Have you ever done something reckless that resulted in a major injury? (broken bones, etc.);Yes;No;;;
q460831;If you had the option to see your date naked before your first meeting, would you take it?;Yes;No;;;
q26144;Would it bother you if your boss was a minority, female, or gay?;Yes, one or more of those types bother me;Not really, but maybe;Not sure;No;
q7042;Do you tend to be attracted to people who remind you of old loves?;Yes;No;I've never loved;;
q46566;If you and a partner lived alone together, how much time would you spend naked while in your home?;All of the time.;More than half of the time.;Less than half of the time.;Never.;
q12950;Do you iron your own clothes?;Yes;No;;;
q487;Have you ever quit a job without giving at least a week notice?;Yes;No;;;
q25040;Do you ever daydream of performing a heroic feat or be dramatically rescued for/by the person of your dreams?;Yes;No;I'm Not Sure;;
q40484;Would you date someone, knowing that they had a VERY close family member (parent, sibling) who was openly gay?;Yes;No;I'm Not Sure;If they didn't flaunt it, it would be all right.;
q81171;Choose a romantic three day weekend with your significant other.;A fancy hotel.;A road trip to visit friends.;A camping trip.;Let's stay at home.;
q40846;If you're not, imagine that you are a virgin all over again.  Would you rather lose your virginity to another virgin or someone more experienced?;I'd want my first partner to be a virgin.;I'd want my first partner to be experienced.;Either would be equally fine.;Neither, I would prefer to remain a virgin.;
q77061;Which are you better at remembering, names or faces?;Names.;Faces.;;;
q28206;Do you talk in your sleep?;Yes / Sometimes;No / Very Rarely;I'm Not Sure / Maybe;;
q45758;Do you believe that religious-minded people are generally more moral?;Yes;No;Don't know / no opinion;;
q46218;Do you like to interpret your own dreams?;Yes.;No.;;;
q20471;What's the best conversation material for a first date?;Jobs, pets, hobbies;What you want out of a relationship;Goals, plans, wishes, hopes;Conversation?;
q32508;Do you know CPR?;Yes;No;Only the basics/never finished the course.;;
q46643;On a global scale, which do you believe provides the greater hindrance to world peace and unity?;Economics.;Religion.;;;
q17844;French new wave films?;Cool;Uncool;Huh?;;
q58622;Do you ever feel it is important to answer questions like these in certain denominations or multiples?  (e.g., You can't stop until you've answerd a multiple of 5 questions or the total number of questions you've answered ends in 2.);Yes.;No.;;;
q19664;If your 9 year old daughter was begging you to allow her to wear a thong, what would your response be?;Sure, why not?;Hell no.;I would consider it.;;
q1187;Break-ups. Which has happened more?;Usually I break up with them;Usually they break up with me;It's been equal on both sides.;;
q135;All else the same, would you rather date someone rich or hot?;Rich;Hot;;;
q47122;Who played the biggest role in raising you?;My mother.;My father.;Another relative.;Someone else.;
q59825;If you could take only one of the following on a road trip, which would it be?;A map.;A camera.;A companion.;A journal to write in.;
q29652;When it comes to music, do you have a strong preference for male or female vocals?;Yes - male vocals.;Yes - female vocals.;No, not really.;I prefer instrumental or non-vocal-driven music.;
q6123;How often do you send greeting cards for holidays and birthdays?;Always;Sometimes;Never;;
q23301;Are you scared of the future?;Yes, a lot;Yes, a little;No, not really;No, not at all;
q8142;Do you think it's okay for males to wear makeup?;Yes;No;;;
q56151;How would you react if your lover called you by the name of their ex?;I'd get mad and/or dump him/her.;I'd pretend I didn't hear.;I'd laugh about it/wouldn't really care.;I'd talk to him/her about it.;
q51197;When eating, do you generally eat the things you like most first or save them for last?;I eat the things I like most first.;I eat the things I like most last.;I don't usually eat in a particular order.;;
q40007;Imagine that you receive a document that absolutely proves whether or not God exists.  Upon reading the document and finding the truth, you must decide whether or not to share the proof with the world.  Which would you do?;Share the truth regardless of what it is.;Keep the truth to myself regardless of what it is.;Share only if it proves that God exists.;Share only if it proves that God does not exist.;
q461426;Which characteristic is most attractive in a date?;They're sleek, sophisticated and well-styled.;They're provocative, daring and unexpected.;They're sexy in a way I can't quite pin down... chalk it up to bedroom appeal.;;
q39147;Would you support assisted suicide/right-to-die legislation?;Yes.;No.;I don't know.;;
q55169;Do you think boys should be circumcised?;Yes.;No.;I'm not sure.;;
q49660;How many pictures of family and friends do you carry with you in your purse or wallet?;10 or more.;1 to 10.;None.;I don't carry a wallet or purse.;
q8038;If you want to get to the top of the stairs sooner, do you:;Skip steps;Go faster without skipping;;;
q356;Do you have any credit cards?;Yes;No;;;
q82124;Of the following, which is your preferred method for expressing love to a partner?;Physical touch.;Talking, words of affirmation.;Gifts and meaningful gestures.;Acts of service/devotion.;
q18569;Do you have rhythm (at least enough to find the beat of a song)?;Yes;No;I think so, but people tell me otherwise;;
q46301;Would you consider dating someone who is in the process of getting divorced?;Yes.;No.;;;
q24137;Are you willing to wear uncomfortable clothes to look good?;Absolutely not;On very special occasions;Sometimes;Usually yes;
q1850;What do you think of the prospect of having sexual intercourse while wearing some type of costume(fur-suit, sci-fi costume, clown suit, whatever).;Yes way;No way;;;
q64657;If you saw a really fantastic magic trick performed, would you want to know the secret behind how it was done?;Yes.;No.;;;
q111;Can you name any ballet other than the Nutcracker?;Yes;No;;;
q12551;Do you, or have you ever, read a text book or technical manual for fun/pleasure?;Yes;No;;;
q19820;Would you date someone with braces?;Yes, braces are hot!;I'm not sure.;No way!  How uncool.;;
q35078;Can you name five living poets and the title of one book by each?;Yes;No;Poets, but not titles;I can't even name five dead poets;
q82443;Did a parent or guardian ever actually wash your mouth out with soap?;Yes.;No.;;;
q37604;Do you believe that, when a soldier kills an enemy soldier in combat during a war, it is murder?;Yes.;No.;;;
