,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q2,Breast implants?,more cool than pathetic,more pathetic than cool,,,24839,N,,sex/intimacy; preference; opinion
q324,Orgasms are clearly the most important part of sex.,I agree.,I disagree.,,,34643,O,,sex/intimacy; opinion
q325,"Would you consider having an open relationship (i.e., one where you can see other people)?",Yes,No,,,54443,O,,sex/intimacy; preference
q334,Do you usually wear cologne or perfume?,Yes,No,,,23846,O,,descriptive
q335,Do you (or would you) like to go hunting?,Yes,No,,,25464,O,,preference; descriptive
q341,"Regardless of whether or not you smoke marijuana, do you think it should be legalized for adults?",Yes,No,,,32473,O,,politics
q354,Would you be comfortable being poor for the rest of your life?,Yes,No,,,26061,O,,preference; opinion
q358,Do you know the first name of every person you've ever made out with?,Yes,No,,,24303,O,,sex/intimacy
q382,Is long hair on a guy inappropriate?,Yes,No,,,25262,O,,opinion
q388,Is it easier to love or to hate?,Love,Hate,,,25471,O,,opinion
q392,"If someone you barely knew asked you how many people you'd had sex with, would you answer?",Yes,No,,,24741,O,,sex/intimacy
q393,Is there a such thing as having had too many sex partners?,Yes,No,,,34232,O,,sex/intimacy
q395,Is it okay for a girl to talk openly about her sexual exploits?,Yes,No,,,29264,O,,sex/intimacy; preference
q403,Do you enjoy discussing politics?,Yes,No,,,52369,O,,politics; preference; descriptive
q434,Do you like loud concerts?,Yes,No,,,23610,O,,preference
q442,"If you don't do anything at all for an entire day, how does that make you feel?",Good,Bad,,,41784,O,,descriptive
q463,"In your ideal sexual encounter, do you take control, or do they?",I take control,They take control,,,28517,O,,sex/intimacy
q486,Is a welfare system a good idea? Or does taxing for it just take money away from hard-working people who earned it?,Welfare is mostly good,Welfare is mostly bad,,,24191,O,,politics
q491,What would be more likely to bother you in a relationship?,Not enough space,Not enough affection,,,31548,N,,sex/intimacy; preference; descriptive
q499,Could you date someone who used anti-depressants?,Yes,No,,,26238,O,,sex/intimacy; preference
q21,Do you enjoy meaningless sex?,Yes,No,,,31024,O,,sex/intimacy
q220,Do you like to watch sports on television?,Yes,No,,,28763,O,,preference
q26684,Are you the type of person to tell a homeless person to get a job?,Yes,No,,,26014,O,,descriptive
q27,Which is a bigger deal for you?,Telling someone you really care,Oral sex,,,24749,O,,sex/intimacy
q27164,Do you believe that men should be the heads of their households?,Yes,No,,,31355,O,,religion/superstition; opinion
q27239,It's your first date with someone you recently met. At the end she/he says 'I think I love you.',Scary,Sweet,,,31249,O,,opinion
q42524,"Would you ever consider having a friendship based primarily on sex, with no intentions for love, romance, or long-term commitment?",Yes.,No.,,,24624,O,,sex/intimacy; preference; descriptive
